test_id,company_id,governorate,region,source_type,year,month,season,pH,turbidity_NTU,TDS_mg_L,chlorine_mg_L,EC_uS_cm,nitrate_mg_L,nitrite_mg_L,ammonia_mg_L,iron_Fe_mg_L,manganese_Mn_mg_L,sulfate_mg_L,hardness_mg_L,chloride_mg_L,DO_mg_L,coliform_CFU_per_100mL,pH_compliant,turbidity_compliant,TDS_compliant,chlorine_compliant,nitrate_compliant,coliform_compliant,potable
146,3,Qalyubia,Greater Cairo,Canal/Nile,2021,4,Spring,7.68,2.17,264,0.54,430,0.78,0.013,0.117,0.1,0.025,40,125,39,10.0,0,1,0,1,1,1,1,0
147,3,Qalyubia,Greater Cairo,Canal/Nile,2023,3,Spring,7.61,1.83,293,0.68,525,0.73,0.008,0.1,0.099,0.024,31,147,33,10.0,0,1,0,1,1,1,1,0
148,3,Qalyubia,Greater Cairo,Canal/Nile,2021,5,Spring,7.75,0.87,297,0.47,462,0.83,0.008,0.128,0.126,0.021,37,133,38,10.0,0,1,1,1,1,1,1,1
149,3,Qalyubia,Greater Cairo,Canal/Nile,2022,7,Summer,7.54,1.36,270,0.57,465,0.98,0.015,0.139,0.127,0.03,38,121,41,10.0,0,1,0,1,1,1,1,0
150,3,Qalyubia,Greater Cairo,Canal/Nile,2021,12,Winter,7.61,1.12,304,0.56,513,1.27,0.006,0.098,0.053,0.023,52,126,29,10.0,0,1,0,1,1,1,1,0
151,3,Qalyubia,Greater Cairo,Canal/Nile,2022,6,Summer,7.74,3.16,244,0.63,527,0.83,0.013,0.148,0.159,0.039,34,163,36,10.0,0,1,0,1,1,1,1,0
152,3,Qalyubia,Greater Cairo,Canal/Nile,2022,1,Winter,7.68,1.03,298,0.61,507,0.46,0.014,0.085,0.091,0.019,42,141,18,10.0,1,1,0,1,1,1,0,0
153,3,Qalyubia,Greater Cairo,Canal/Nile,2022,9,Autumn,7.69,1.16,278,0.6,461,0.65,0.015,0.091,0.122,0.031,43,143,27,10.0,0,1,0,1,1,1,1,0
154,3,Qalyubia,Greater Cairo,Canal/Nile,2022,8,Summer,7.54,3.51,292,0.5,534,1.12,0.017,0.133,0.147,0.038,63,135,38,10.0,0,1,0,1,1,1,1,0
155,3,Qalyubia,Greater Cairo,Canal/Nile,2022,11,Autumn,7.42,1.93,233,0.7,470,0.86,0.008,0.073,0.105,0.024,40,120,40,10.0,0,1,0,1,1,1,1,0
156,3,Qalyubia,Greater Cairo,Canal/Nile,2021,4,Spring,7.46,1.09,272,0.4,406,1.0,0.013,0.086,0.077,0.031,32,114,39,10.0,0,1,0,1,1,1,1,0
157,3,Qalyubia,Greater Cairo,Canal/Nile,2020,9,Autumn,7.63,0.51,276,0.57,469,0.35,0.009,0.099,0.083,0.014,51,126,34,10.0,0,1,1,1,1,1,1,1
158,3,Qalyubia,Greater Cairo,Canal/Nile,2022,5,Spring,7.72,2.21,243,0.55,461,0.56,0.009,0.091,0.139,0.028,30,127,41,10.0,0,1,0,1,1,1,1,0
159,3,Qalyubia,Greater Cairo,Canal/Nile,2021,3,Spring,7.48,2.65,253,0.61,508,0.38,0.009,0.102,0.093,0.027,45,136,37,10.0,0,1,0,1,1,1,1,0
160,3,Qalyubia,Greater Cairo,Canal/Nile,2020,10,Autumn,7.57,1.8,211,0.57,486,0.68,0.016,0.129,0.068,0.03,49,138,37,10.0,0,1,0,1,1,1,1,0
161,3,Qalyubia,Greater Cairo,Canal/Nile,2021,9,Autumn,7.73,3.42,262,0.66,476,0.87,0.015,0.068,0.063,0.024,45,143,37,10.0,0,1,0,1,1,1,1,0
162,3,Qalyubia,Greater Cairo,Canal/Nile,2022,6,Summer,7.35,2.86,265,0.44,478,1.17,0.012,0.074,0.144,0.043,45,118,34,10.0,0,1,0,1,1,1,1,0
163,3,Qalyubia,Greater Cairo,Canal/Nile,2023,9,Autumn,7.37,2.7,297,0.8,539,0.59,0.012,0.072,0.122,0.018,32,110,32,10.0,0,1,0,1,1,1,1,0
164,3,Qalyubia,Greater Cairo,Canal/Nile,2021,10,Autumn,7.61,2.22,247,0.59,557,0.82,0.007,0.08,0.068,0.02,37,114,35,10.0,0,1,0,1,1,1,1,0
165,3,Qalyubia,Greater Cairo,Canal/Nile,2020,2,Winter,7.57,0.94,279,0.54,542,0.2,0.015,0.101,0.06,0.026,49,138,24,10.0,0,1,1,1,1,1,1,1
166,3,Qalyubia,Greater Cairo,Canal/Nile,2023,10,Autumn,7.73,2.0,286,0.62,452,1.23,0.009,0.098,0.083,0.028,36,137,28,10.0,0,1,0,1,1,1,1,0
167,3,Qalyubia,Greater Cairo,Canal/Nile,2023,8,Summer,7.53,3.64,264,0.57,530,1.37,0.021,0.105,0.104,0.028,38,154,30,10.0,0,1,0,1,1,1,1,0
168,3,Qalyubia,Greater Cairo,Canal/Nile,2022,10,Autumn,7.85,2.26,275,0.64,494,0.88,0.009,0.147,0.074,0.034,43,114,37,10.0,0,1,0,1,1,1,1,0
169,3,Qalyubia,Greater Cairo,Canal/Nile,2023,12,Winter,7.74,1.44,282,0.54,508,0.74,0.007,0.117,0.081,0.025,41,128,44,10.0,0,1,0,1,1,1,1,0
170,3,Qalyubia,Greater Cairo,Canal/Nile,2021,8,Summer,7.54,3.78,300,0.59,522,1.55,0.017,0.155,0.106,0.053,32,131,26,10.0,1,1,0,1,1,1,0,0
171,3,Qalyubia,Greater Cairo,Canal/Nile,2022,8,Summer,7.8,2.96,283,0.62,532,0.95,0.014,0.217,0.15,0.032,36,126,41,10.0,0,1,0,1,1,1,1,0
172,3,Qalyubia,Greater Cairo,Canal/Nile,2023,5,Spring,7.57,1.43,278,0.58,463,0.83,0.008,0.079,0.055,0.024,28,129,31,10.0,0,1,0,1,1,1,1,0
173,3,Qalyubia,Greater Cairo,Canal/Nile,2021,12,Winter,7.53,1.95,237,0.46,490,0.81,0.007,0.077,0.087,0.026,33,142,44,10.0,0,1,0,1,1,1,1,0
174,3,Qalyubia,Greater Cairo,Canal/Nile,2021,12,Winter,7.58,0.61,265,0.48,518,0.6,0.008,0.066,0.111,0.019,53,149,38,10.0,0,1,1,1,1,1,1,1
175,3,Qalyubia,Greater Cairo,Canal/Nile,2022,7,Summer,7.79,2.66,223,0.73,530,1.71,0.017,0.179,0.13,0.033,43,125,38,10.0,1,1,0,1,1,1,0,0
176,3,Qalyubia,Greater Cairo,Canal/Nile,2023,6,Summer,7.84,3.63,327,0.54,513,0.84,0.018,0.105,0.13,0.028,36,123,32,10.0,0,1,0,1,1,1,1,0
177,3,Qalyubia,Greater Cairo,Canal/Nile,2021,6,Summer,7.6,2.72,271,0.46,481,1.52,0.014,0.115,0.134,0.038,44,120,32,10.0,1,1,0,1,1,1,0,0
178,3,Qalyubia,Greater Cairo,Canal/Nile,2021,10,Autumn,7.66,2.38,256,0.59,409,0.72,0.01,0.073,0.071,0.021,42,133,22,10.0,0,1,0,1,1,1,1,0
179,3,Qalyubia,Greater Cairo,Canal/Nile,2020,2,Winter,7.6,2.2,275,0.57,538,0.52,0.015,0.077,0.052,0.025,37,168,32,10.0,0,1,0,1,1,1,1,0
180,3,Qalyubia,Greater Cairo,Canal/Nile,2021,9,Autumn,7.75,1.58,236,0.52,497,0.65,0.008,0.084,0.114,0.022,50,126,37,10.0,0,1,0,1,1,1,1,0
181,3,Qalyubia,Greater Cairo,Canal/Nile,2022,5,Spring,7.4,1.12,260,0.69,479,0.75,0.005,0.08,0.065,0.019,41,130,45,10.0,0,1,0,1,1,1,1,0
182,3,Qalyubia,Greater Cairo,Canal/Nile,2021,6,Summer,7.47,3.12,298,0.68,479,1.16,0.009,0.128,0.146,0.032,44,133,38,10.0,0,1,0,1,1,1,1,0
183,4,Alexandria,North Coast,Nile River,2023,9,Autumn,7.84,0.54,331,0.71,568,2.96,0.014,0.078,0.055,0.01,54,188,48,10.0,0,1,1,1,1,1,1,1
184,4,Alexandria,North Coast,Nile River,2020,6,Summer,7.75,0.48,341,0.58,621,5.68,0.015,0.075,0.072,0.013,46,167,56,10.0,0,1,1,1,1,1,1,1
185,4,Alexandria,North Coast,Nile River,2021,7,Summer,7.87,0.63,374,0.9,642,4.68,0.01,0.093,0.062,0.021,47,214,67,10.0,0,1,1,1,1,1,1,1
186,4,Alexandria,North Coast,Nile River,2022,12,Winter,7.86,0.31,371,0.85,523,2.98,0.013,0.061,0.031,0.011,43,173,54,10.0,0,1,1,1,1,1,1,1
187,4,Alexandria,North Coast,Nile River,2022,10,Autumn,7.86,0.49,290,0.74,643,2.84,0.008,0.067,0.044,0.011,68,170,50,10.0,0,1,1,1,1,1,1,1
188,4,Alexandria,North Coast,Nile River,2023,11,Autumn,7.73,0.56,339,0.79,672,2.2,0.01,0.088,0.054,0.009,43,191,48,10.0,0,1,1,1,1,1,1,1
189,4,Alexandria,North Coast,Nile River,2023,12,Winter,7.92,0.54,373,0.66,562,1.42,0.014,0.061,0.066,0.023,49,158,57,10.0,0,1,1,1,1,1,1,1
190,4,Alexandria,North Coast,Nile River,2023,4,Spring,7.68,0.37,360,0.87,596,2.1,0.012,0.075,0.061,0.022,70,161,70,10.0,0,1,1,1,1,1,1,1
191,4,Alexandria,North Coast,Nile River,2022,11,Autumn,7.84,0.54,343,0.74,595,4.31,0.006,0.072,0.024,0.017,56,175,55,10.0,0,1,1,1,1,1,1,1
192,4,Alexandria,North Coast,Nile River,2022,4,Spring,7.69,0.3,369,0.73,585,4.1,0.01,0.061,0.035,0.026,55,146,40,10.0,0,1,1,1,1,1,1,1
193,4,Alexandria,North Coast,Nile River,2020,5,Spring,7.86,0.12,320,0.74,582,2.35,0.012,0.085,0.043,0.011,66,201,50,10.0,0,1,1,1,1,1,1,1
194,4,Alexandria,North Coast,Nile River,2023,7,Summer,7.77,0.47,349,0.76,615,4.12,0.014,0.11,0.061,0.021,51,189,56,10.0,0,1,1,1,1,1,1,1
195,4,Alexandria,North Coast,Nile River,2023,2,Winter,7.82,0.26,398,0.81,590,1.95,0.006,0.062,0.03,0.007,54,167,55,10.0,0,1,1,1,1,1,1,1
196,4,Alexandria,North Coast,Nile River,2021,10,Autumn,7.9,0.48,379,0.86,676,3.09,0.007,0.085,0.037,0.01,58,187,47,10.0,0,1,1,1,1,1,1,1
197,4,Alexandria,North Coast,Nile River,2020,2,Winter,7.98,0.24,366,0.66,611,2.49,0.008,0.08,0.033,0.006,64,150,58,10.0,0,1,1,1,1,1,1,1
198,4,Alexandria,North Coast,Nile River,2021,4,Spring,7.86,0.75,362,0.47,647,2.71,0.018,0.082,0.025,0.005,71,191,72,10.0,0,1,1,1,1,1,1,1
199,4,Alexandria,North Coast,Nile River,2021,8,Summer,7.83,0.87,338,0.7,579,5.06,0.018,0.121,0.077,0.015,72,198,61,10.0,0,1,1,1,1,1,1,1
200,4,Alexandria,North Coast,Nile River,2021,9,Autumn,7.81,0.36,350,0.81,647,4.12,0.013,0.055,0.041,0.014,51,177,41,10.0,0,1,1,1,1,1,1,1
201,4,Alexandria,North Coast,Nile River,2020,10,Autumn,7.79,0.37,357,0.74,656,1.66,0.009,0.063,0.048,0.015,72,206,48,10.0,0,1,1,1,1,1,1,1
202,4,Alexandria,North Coast,Nile River,2022,2,Winter,7.79,0.46,364,0.7,598,1.42,0.011,0.074,0.046,0.018,60,174,47,10.0,0,1,1,1,1,1,1,1
203,4,Alexandria,North Coast,Nile River,2022,7,Summer,7.94,0.31,307,0.84,580,4.68,0.02,0.099,0.058,0.022,45,157,55,10.0,0,1,1,1,1,1,1,1
204,4,Alexandria,North Coast,Nile River,2023,3,Spring,7.82,0.57,342,0.89,572,2.26,0.008,0.079,0.044,0.017,56,189,52,10.0,0,1,1,1,1,1,1,1
205,4,Alexandria,North Coast,Nile River,2022,4,Spring,7.68,0.6,365,0.68,604,2.48,0.014,0.101,0.051,0.017,73,171,45,10.0,0,1,1,1,1,1,1,1
206,4,Alexandria,North Coast,Nile River,2021,4,Spring,7.97,0.41,333,0.7,647,5.08,0.008,0.059,0.056,0.011,66,179,54,10.0,0,1,1,1,1,1,1,1
207,4,Alexandria,North Coast,Nile River,2020,10,Autumn,8.03,0.42,330,0.66,630,3.37,0.012,0.106,0.035,0.022,52,210,59,10.0,0,1,1,1,1,1,1,1
208,4,Alexandria,North Coast,Nile River,2021,5,Spring,8.0,0.46,340,0.86,599,3.44,0.012,0.09,0.033,0.008,70,175,60,10.0,0,1,1,1,1,1,1,1
209,4,Alexandria,North Coast,Nile River,2023,3,Spring,7.81,0.3,364,0.77,561,4.75,0.008,0.035,0.064,0.012,54,165,49,10.0,0,1,1,1,1,1,1,1
210,4,Alexandria,North Coast,Nile River,2020,11,Autumn,7.72,0.36,321,0.73,560,3.67,0.011,0.066,0.057,0.016,40,188,55,10.0,0,1,1,1,1,1,1,1
211,4,Alexandria,North Coast,Nile River,2022,9,Autumn,7.64,0.29,353,0.76,678,2.23,0.013,0.11,0.072,0.013,61,181,56,10.0,0,1,1,1,1,1,1,1
212,4,Alexandria,North Coast,Nile River,2023,7,Summer,7.7,0.23,404,0.81,507,3.79,0.017,0.138,0.073,0.019,40,187,53,10.0,0,1,1,1,1,1,1,1
213,4,Alexandria,North Coast,Nile River,2020,7,Summer,7.78,0.77,358,0.63,625,5.33,0.019,0.101,0.078,0.022,68,181,43,10.0,1,1,1,1,1,1,0,0
214,4,Alexandria,North Coast,Nile River,2022,12,Winter,7.81,0.31,366,0.83,622,2.36,0.003,0.083,0.043,0.01,62,145,62,10.0,0,1,1,1,1,1,1,1
215,4,Alexandria,North Coast,Nile River,2023,8,Summer,7.79,0.63,345,0.77,617,3.97,0.018,0.116,0.07,0.021,76,182,51,10.0,0,1,1,1,1,1,1,1
216,4,Alexandria,North Coast,Nile River,2020,1,Winter,7.88,0.46,323,0.82,595,2.46,0.012,0.044,0.052,0.009,73,153,51,10.0,1,1,1,1,1,1,0,0
217,4,Alexandria,North Coast,Nile River,2023,6,Summer,7.71,0.84,325,0.71,638,5.21,0.011,0.165,0.052,0.014,62,165,51,10.0,0,1,1,1,1,1,1,1
218,4,Alexandria,North Coast,Nile River,2021,7,Summer,7.79,0.6,382,0.72,651,3.84,0.017,0.066,0.056,0.031,66,199,50,10.0,0,1,1,1,1,1,1,1
219,4,Alexandria,North Coast,Nile River,2023,8,Summer,7.96,0.33,288,0.72,660,3.27,0.012,0.117,0.094,0.014,44,177,65,10.0,0,1,1,1,1,1,1,1
220,4,Alexandria,North Coast,Nile River,2021,9,Autumn,7.75,0.66,357,0.63,588,2.46,0.013,0.075,0.047,0.013,52,153,61,10.0,0,1,1,1,1,1,1,1
221,4,Alexandria,North Coast,Nile River,2020,11,Autumn,7.88,0.44,352,0.64,605,2.67,0.004,0.104,0.057,0.015,59,190,56,10.0,0,1,1,1,1,1,1,1
222,4,Alexandria,North Coast,Nile River,2021,6,Summer,7.83,0.77,349,0.69,585,3.96,0.017,0.075,0.044,0.03,50,175,43,10.0,0,1,1,1,1,1,1,1
223,4,Alexandria,North Coast,Nile River,2021,9,Autumn,7.64,0.66,343,0.85,552,2.56,0.013,0.041,0.057,0.021,59,174,47,10.0,0,1,1,1,1,1,1,1
224,4,Alexandria,North Coast,Nile River,2022,9,Autumn,7.77,0.2,376,0.75,596,2.8,0.012,0.084,0.06,0.017,55,158,61,10.0,0,1,1,1,1,1,1,1
225,4,Alexandria,North Coast,Nile River,2020,4,Spring,7.7,0.37,391,0.86,537,3.45,0.005,0.081,0.068,0.01,49,185,42,10.0,0,1,1,1,1,1,1,1
226,4,Alexandria,North Coast,Nile River,2023,8,Summer,7.86,0.71,400,0.7,629,3.84,0.015,0.113,0.065,0.022,64,160,57,10.0,0,1,1,1,1,1,1,1
227,4,Alexandria,North Coast,Nile River,2022,7,Summer,7.85,0.71,380,0.69,618,4.73,0.015,0.07,0.065,0.032,54,158,58,10.0,0,1,1,1,1,1,1,1
228,4,Alexandria,North Coast,Nile River,2023,5,Spring,7.69,0.54,383,0.7,563,3.32,0.015,0.11,0.028,0.02,56,170,58,10.0,0,1,1,1,1,1,1,1
229,4,Alexandria,North Coast,Nile River,2022,4,Spring,7.62,0.53,399,0.76,589,3.67,0.017,0.074,0.036,0.013,43,187,50,10.0,0,1,1,1,1,1,1,1
230,4,Alexandria,North Coast,Nile River,2023,7,Summer,7.71,0.4,362,0.8,590,5.43,0.017,0.113,0.046,0.014,60,133,63,10.0,0,1,1,1,1,1,1,1
231,4,Alexandria,North Coast,Nile River,2022,6,Summer,7.79,0.44,288,0.63,615,5.24,0.008,0.095,0.068,0.025,53,159,65,10.0,0,1,1,1,1,1,1,1
232,4,Alexandria,North Coast,Nile River,2023,5,Spring,7.78,0.52,313,0.73,615,3.68,0.011,0.074,0.044,0.019,57,152,44,10.0,0,1,1,1,1,1,1,1
233,4,Alexandria,North Coast,Nile River,2022,9,Autumn,7.84,0.45,347,0.73,560,3.85,0.009,0.084,0.065,0.013,66,181,56,10.0,0,1,1,1,1,1,1,1
234,4,Alexandria,North Coast,Nile River,2020,2,Winter,7.84,0.35,360,0.77,555,3.3,0.01,0.068,0.027,0.019,63,161,62,10.0,0,1,1,1,1,1,1,1
235,4,Alexandria,North Coast,Nile River,2021,1,Winter,7.82,0.21,342,0.64,551,1.32,0.01,0.102,0.033,0.018,67,149,46,10.0,0,1,1,1,1,1,1,1
236,4,Alexandria,North Coast,Nile River,2020,2,Winter,7.86,0.29,327,0.78,580,2.87,0.014,0.069,0.031,0.008,49,145,61,10.0,0,1,1,1,1,1,1,1
237,5,Beheira,Delta,Canal/Nile,2022,10,Autumn,7.61,0.57,318,0.61,596,4.05,0.019,0.112,0.086,0.04,43,140,52,10.0,0,1,1,1,1,1,1,1
238,5,Beheira,Delta,Canal/Nile,2022,2,Winter,7.58,1.04,301,0.54,494,5.42,0.01,0.147,0.111,0.034,46,145,53,10.0,0,1,0,1,1,1,1,0
239,5,Beheira,Delta,Canal/Nile,2020,2,Winter,7.71,1.58,291,0.38,523,4.46,0.021,0.132,0.102,0.05,54,173,45,10.0,0,1,0,1,1,1,1,0
240,5,Beheira,Delta,Canal/Nile,2021,2,Winter,7.59,1.22,275,0.62,526,3.67,0.013,0.072,0.073,0.028,40,154,49,10.0,0,1,0,1,1,1,1,0
241,5,Beheira,Delta,Canal/Nile,2023,8,Summer,7.5,2.0,273,0.48,504,8.07,0.02,0.227,0.14,0.048,61,187,46,10.0,0,1,0,1,1,1,1,0
242,5,Beheira,Delta,Canal/Nile,2021,7,Summer,7.68,1.65,270,0.44,538,7.54,0.015,0.204,0.143,0.056,54,165,41,10.0,1,1,0,1,1,1,0,0
243,5,Beheira,Delta,Canal/Nile,2023,5,Spring,7.41,1.53,292,0.52,512,6.62,0.028,0.078,0.15,0.03,65,150,44,10.0,0,1,0,1,1,1,1,0
244,5,Beheira,Delta,Canal/Nile,2022,9,Autumn,7.43,1.07,304,0.57,564,4.94,0.031,0.159,0.092,0.022,46,149,53,10.0,0,1,0,1,1,1,1,0
245,5,Beheira,Delta,Canal/Nile,2020,11,Autumn,7.64,1.4,326,0.56,457,4.26,0.02,0.179,0.071,0.035,35,173,48,10.0,0,1,0,1,1,1,1,0
246,5,Beheira,Delta,Canal/Nile,2021,5,Spring,7.65,1.05,298,0.55,478,4.75,0.022,0.224,0.074,0.039,53,121,49,10.0,0,1,0,1,1,1,1,0
247,5,Beheira,Delta,Canal/Nile,2023,10,Autumn,7.65,1.42,291,0.55,538,3.11,0.032,0.202,0.091,0.026,51,157,48,10.0,0,1,0,1,1,1,1,0
248,5,Beheira,Delta,Canal/Nile,2022,8,Summer,7.62,0.4,276,0.46,557,6.34,0.024,0.241,0.128,0.06,57,155,52,10.0,0,1,1,1,1,1,1,0
249,5,Beheira,Delta,Canal/Nile,2020,4,Spring,7.64,1.44,336,0.44,525,4.45,0.024,0.141,0.101,0.033,47,186,63,10.0,0,1,0,1,1,1,1,0
250,5,Beheira,Delta,Canal/Nile,2022,11,Autumn,7.74,1.43,336,0.51,513,4.49,0.018,0.195,0.099,0.038,44,179,33,10.0,0,1,0,1,1,1,1,0
251,5,Beheira,Delta,Canal/Nile,2022,1,Winter,7.57,1.18,289,0.51,607,2.83,0.006,0.159,0.07,0.027,42,150,57,10.0,0,1,0,1,1,1,1,0
252,5,Beheira,Delta,Canal/Nile,2022,5,Spring,7.51,0.85,287,0.47,519,4.14,0.013,0.157,0.096,0.032,49,128,48,10.0,1,1,1,1,1,1,0,0
253,5,Beheira,Delta,Canal/Nile,2022,5,Spring,7.54,1.18,318,0.54,485,5.21,0.029,0.168,0.121,0.033,54,160,39,10.0,0,1,0,1,1,1,1,0
254,5,Beheira,Delta,Canal/Nile,2021,7,Summer,7.75,2.19,293,0.47,534,8.62,0.031,0.157,0.138,0.047,39,153,45,10.0,1,1,0,1,1,1,0,0
255,5,Beheira,Delta,Canal/Nile,2022,5,Spring,7.43,0.75,306,0.47,594,3.77,0.015,0.162,0.086,0.012,63,136,50,10.0,2,1,1,1,1,1,0,0
256,5,Beheira,Delta,Canal/Nile,2021,5,Spring,7.44,0.89,281,0.37,552,3.68,0.026,0.166,0.106,0.048,38,171,44,10.0,0,1,1,1,1,1,1,1
257,5,Beheira,Delta,Canal/Nile,2021,12,Winter,7.61,0.3,291,0.43,496,4.11,0.023,0.136,0.092,0.021,41,187,41,10.0,0,1,1,1,1,1,1,1
258,5,Beheira,Delta,Canal/Nile,2020,8,Summer,7.68,1.35,357,0.52,547,5.04,0.027,0.256,0.152,0.032,44,186,46,10.0,0,1,0,1,1,1,1,0
259,5,Beheira,Delta,Canal/Nile,2023,1,Winter,7.53,0.93,247,0.64,510,4.57,0.018,0.178,0.044,0.031,57,153,39,10.0,0,1,1,1,1,1,1,1
260,5,Beheira,Delta,Canal/Nile,2021,4,Spring,7.8,0.93,306,0.5,511,4.85,0.01,0.137,0.129,0.027,39,156,47,10.0,0,1,1,1,1,1,1,1
261,5,Beheira,Delta,Canal/Nile,2020,1,Winter,7.57,1.07,361,0.46,504,4.19,0.019,0.138,0.113,0.01,29,146,53,10.0,2,1,0,1,1,1,0,0
262,5,Beheira,Delta,Canal/Nile,2022,6,Summer,7.6,1.84,266,0.49,568,8.64,0.026,0.257,0.177,0.046,44,152,46,10.0,1,1,0,1,1,1,0,0
263,5,Beheira,Delta,Canal/Nile,2021,1,Winter,7.65,1.13,349,0.48,533,2.45,0.003,0.161,0.085,0.039,37,164,59,10.0,0,1,0,1,1,1,1,0
264,5,Beheira,Delta,Canal/Nile,2023,12,Winter,7.66,0.23,287,0.62,484,4.84,0.012,0.159,0.078,0.027,48,131,52,10.0,1,1,1,1,1,1,0,0
265,5,Beheira,Delta,Canal/Nile,2022,2,Winter,7.53,0.86,246,0.44,505,4.8,0.012,0.078,0.043,0.025,64,160,52,10.0,0,1,1,1,1,1,1,1
266,5,Beheira,Delta,Canal/Nile,2020,8,Summer,7.7,1.22,318,0.66,546,8.52,0.035,0.234,0.132,0.057,46,155,49,10.0,0,1,0,1,1,1,1,0
267,5,Beheira,Delta,Canal/Nile,2021,6,Summer,7.62,2.23,305,0.49,518,5.88,0.033,0.297,0.132,0.044,42,143,58,10.0,0,1,0,1,1,1,1,0
268,5,Beheira,Delta,Canal/Nile,2021,8,Summer,7.44,0.38,343,0.43,487,6.19,0.023,0.204,0.116,0.053,53,132,43,10.0,1,1,1,1,1,1,0,0
269,5,Beheira,Delta,Canal/Nile,2020,3,Spring,7.57,0.39,329,0.62,569,6.6,0.023,0.212,0.096,0.021,55,123,47,10.0,0,1,1,1,1,1,1,1
270,5,Beheira,Delta,Canal/Nile,2022,8,Summer,7.63,1.31,326,0.5,555,6.15,0.028,0.184,0.1,0.053,38,152,53,10.0,0,1,0,1,1,1,1,0
271,5,Beheira,Delta,Canal/Nile,2023,4,Spring,7.68,0.78,313,0.63,502,7.1,0.017,0.151,0.085,0.037,34,145,38,10.0,0,1,1,1,1,1,1,1
272,5,Beheira,Delta,Canal/Nile,2023,1,Winter,7.67,0.64,380,0.39,472,5.12,0.016,0.161,0.093,0.025,37,174,37,10.0,0,1,1,1,1,1,1,1
273,5,Beheira,Delta,Canal/Nile,2023,11,Autumn,7.72,1.05,334,0.55,501,5.34,0.015,0.188,0.069,0.045,51,152,51,10.0,2,1,0,1,1,1,0,0
274,5,Beheira,Delta,Canal/Nile,2023,2,Winter,7.65,1.3,261,0.54,551,5.06,0.009,0.144,0.111,0.032,47,176,41,10.0,1,1,0,1,1,1,0,0
275,5,Beheira,Delta,Canal/Nile,2023,3,Spring,7.33,0.98,334,0.63,486,5.92,0.015,0.135,0.093,0.036,56,160,45,10.0,0,1,1,1,1,1,1,1
276,5,Beheira,Delta,Canal/Nile,2020,6,Summer,7.64,2.52,289,0.54,534,7.53,0.04,0.186,0.114,0.043,46,156,48,10.0,0,1,0,1,1,1,1,0
277,5,Beheira,Delta,Canal/Nile,2022,9,Autumn,7.67,0.98,274,0.55,506,4.51,0.021,0.125,0.102,0.03,44,173,54,10.0,0,1,1,1,1,1,1,1
278,5,Beheira,Delta,Canal/Nile,2020,3,Spring,7.74,0.91,331,0.62,539,5.66,0.026,0.106,0.123,0.029,42,159,31,10.0,0,1,1,1,1,1,1,1
279,5,Beheira,Delta,Canal/Nile,2022,10,Autumn,7.82,1.33,327,0.57,508,5.76,0.012,0.192,0.074,0.037,41,165,46,10.0,1,1,0,1,1,1,0,0
280,5,Beheira,Delta,Canal/Nile,2020,3,Spring,7.73,0.8,317,0.49,451,5.93,0.02,0.201,0.063,0.033,46,160,37,10.0,0,1,1,1,1,1,1,1
281,5,Beheira,Delta,Canal/Nile,2022,12,Winter,7.27,1.56,323,0.35,616,6.92,0.016,0.09,0.122,0.027,49,177,45,10.0,0,1,0,1,1,1,1,0
282,6,Dakahlia,Delta,Canal,2020,2,Winter,7.85,1.44,306,0.62,537,4.72,0.027,0.155,0.124,0.039,37,161,46,10.0,1,1,0,1,1,1,0,0
283,6,Dakahlia,Delta,Canal,2021,12,Winter,7.36,1.21,285,0.42,495,3.84,0.023,0.091,0.123,0.029,42,130,55,10.0,0,1,0,1,1,1,1,0
284,6,Dakahlia,Delta,Canal,2021,2,Winter,7.61,1.1,298,0.38,562,3.08,0.018,0.162,0.081,0.023,48,148,48,10.0,1,1,0,1,1,1,0,0
285,6,Dakahlia,Delta,Canal,2023,9,Autumn,7.58,1.38,249,0.5,480,6.38,0.021,0.16,0.08,0.021,61,149,51,10.0,1,1,0,1,1,1,0,0
286,6,Dakahlia,Delta,Canal,2021,5,Spring,7.82,1.21,267,0.54,557,4.18,0.022,0.146,0.118,0.035,57,145,58,10.0,0,1,0,1,1,1,1,0
287,6,Dakahlia,Delta,Canal,2023,1,Winter,7.43,1.63,274,0.5,449,5.79,0.007,0.118,0.108,0.021,51,132,39,10.0,0,1,0,1,1,1,1,0
288,6,Dakahlia,Delta,Canal,2022,11,Autumn,7.58,1.29,313,0.23,504,5.58,0.02,0.239,0.094,0.041,49,168,43,10.0,0,1,0,1,1,1,1,0
289,6,Dakahlia,Delta,Canal,2023,10,Autumn,7.78,1.8,286,0.45,509,5.42,0.023,0.246,0.089,0.034,52,140,59,10.0,0,1,0,1,1,1,1,0
290,6,Dakahlia,Delta,Canal,2020,10,Autumn,7.54,1.8,286,0.55,532,8.07,0.021,0.132,0.121,0.029,58,142,44,10.0,0,1,0,1,1,1,1,0
291,6,Dakahlia,Delta,Canal,2023,3,Spring,7.52,1.42,276,0.58,559,6.65,0.012,0.144,0.111,0.02,39,144,45,10.0,0,1,0,1,1,1,1,0
292,6,Dakahlia,Delta,Canal,2021,6,Summer,7.7,2.91,278,0.42,494,6.21,0.025,0.188,0.154,0.051,49,138,46,10.0,1,1,0,1,1,1,0,0
